丸 wan2 丸 gan/maru
损 sun3 損 son
柴 chai2 柴 shiba
贫 pin2 貧 hin
范 fan4 範 han
筋 jin1 筋 kin/suji
材 cai2 材 zai
滩 tan1 灘 nada
卜 bu3 卜 boku
巡 xun2 巡 jun
夷 yi2 夷 i/ebisu
屯 tun2 屯 ton/tamuro
裁 cai2 裁 sai
馅 xian4 餡 an
渔 yu2 漁 ryou
粪 fen4 糞 fun/baba/kuso
铅 qian1 鉛 namari
凸 tu1 凸 totsu/deko
坤 kun1 坤 kon
暑 shu3 暑 sho
钝 dun4 鈍 don
竿 gan1 竿 kan/sao
藩 fan1 藩 han
幡 fan1 幡 ban
杳 yao3 杳 you
艮 gen3 艮 gon
豚 tun2 豚 ton/buta
虱 shi1 虱 shirami
鲋 fu4 鮒 funa
麿 mo3 麿 maro
块 kuai4 塊 katamari
项 xiang4 項 unaji/kou
裳 chang2 裳 chima/mo
簪 zan1 簪 kanzashi
用 yong4 用 you
天 tian1 天 ten
新 xin1 新 shin/sara
出 chu1 出 shutsu/de
名 ming2 名 mei/na
心 xin1 心 shin/kokoro
间 jian1 間 aida/kan/ma/ken
越 yue4 越 etsu
信 xin4 信 shin
约 yue1 約 yaku
面 mian4 面 men/omote/zura/tsura
动 dong4 動 dou
东 dong1 東 ton/higashi/azuma
相 xiang1 相 ai/sou/shou
方 fang1 方 gata/kata/hou
管 guan3 管 kan
周 zhou1 周 shuu
店 dian4 店 tana/ten/mise
雅 ya3 雅 miyabi/ga
直 zhi2 直 hita/jiki/atai/jika/choku/nao
怪 guai4 怪 kai
短 duan3 短 tan/mijika
命 ming4 命 mei/inochi
牛 niu2 牛 ushi
官 guan1 官 kan/tsukasa
玉 yu4 玉 gyoku/tama
瓶 ping2 瓶 bin
亲 qin1 親 shin/oya
端 duan1 端 tan/tsuma/hashi/hashita
愿 yuan4 願 gan
环 huan2 環 kan
准 zhun3 準 jun
馆 guan3 館 kan/yakata
州 zhou1 州 shuu/su
瑞 rui4 瑞 mizu
臭 chou4 臭 shuu
免 mian3 免 men
顺 shun4 順 jun
密 mi4 密 mitsu
祝 zhu4 祝 shuku/hafuri
闲 xian2 閑 kan
嫌 xian2 嫌 iya
简 jian3 簡 kan
纯 chun2 純 jun
质 zhi4 質 shichi/shitsu/tachi
蛇 she2 蛇 hebi
尺 chi3 尺 sashi/shaku
职 zhi2 職 shiki/shoku
丑 chou3 醜 shuu
术 shu4 術 jutsu/sube
陆 liu4 陸 riku
兄 xiong1 兄 nii/ani/kei
亭 ting2 亭 tei
缩 suo1 縮 shuku
犬 quan3 犬 inu
殿 dian4 殿 dono/shingari/tono
束 shu4 束 soku/tsuka/taba
蜜 mi4 蜜 mitsu
伪 wei3 偽 nise/gi
俊 jun4 俊 shun
债 zhai4 債 sai
芯 xin1 芯 shin
砂 sha1 砂 suna
舰 jian4 艦 kan
铭 ming2 銘 mei
贯 guan4 貫 kan/nuki
庸 yong1 庸 you
锤 chui2 錘 sui/iwa
腕 wan4 腕 kaina/ude
宵 xiao1 宵 yoi
耻 chi3 恥 haji
卵 luan3 卵 ran/tamago
艇 ting3 艇 tei
鲍 bao4 鮑 awabi
绵 mian2 綿 men/wata
棺 guan1 棺 kan
锥 zhui1 錐 sui/kiri
涧 jian4 澗 kan
综 zeng4 綜 aze
椎 chui2 椎 shii
暇 xia2 暇 hima
跋 ba2 跋 batsu
弁 bian4 弁 ben
赘 zhui4 贅 zei
宙 zhou4 宙 chuu
筈 gua1 筈 hazu
胴 dong4 胴 dou
蛭 zhi4 蛭 hiru
鲷 diao1 鯛 tai
志 zhi4 志 kokorozashi
唇 chun2 唇 kuchibiru
冠 guan1 冠 kanmuri
尸 shi1 屍 shikabane
踝 huai2 踝 kurubushi
不 bu4 不 fu
把 ba3 把 wa
下 xia4 下 shita/ka/shimo/moto/ge
后 hou4 後 nochi/go/ato
日 ri4 日 hi/nichi/ka
等 deng3 等 nado/tou/ra
次 ci4 次 ji/tsugi
可 ke3 可 ka
话 hua4 話 hanashi/wa
真 zhen1 真 shin/ma
并 bing4 並 nami
比 bi3 比 hi
位 wei4 位 i/kurai
由 you2 由 yoshi
先 xian1 先 saki/sen
句 ju4 句 ku
无 wu2 無 mu/bu
字 zi4 字 aza/ji/azana
别 bie2 別 betsu
片 pian4 片 hira/bira/pensu/kata/hen
生 sheng1 生 sei/nama/ki/fu
自 zi4 自 ji
眼 yan3 眼 manako
八 ba1 八 paa/hachi
白 bai2 白 shira/haku/shiro
离 li2 離 ri
夜 ye4 夜 ya/yoru
记 ji4 記 ki
期 qi1 期 ki
课 ke4 課 ka
利 li4 利 ri
机 ji1 機 ki/hata
房 fang2 房 fusa/bou
梦 meng4 夢 yume
度 du4 度 do/tabi
