公,public,"公開 (こうかい): opening to the public
主人公 (しゅじんこう): protagonist
公園 (こうえん): (public) park
公式 (こうしき): formal
公演 (こうえん): public performance"
勾,capture,
孔,cavity,
今,now,"今 (いま): now
今日 (きょう): today
今回 (こんかい): now
今年 (ことし): this year
今後 (こんご): from now on"
支,branch,"支援 (しえん): support
支持 (しじ): support
支配 (しはい): domination
支払い (しはらい): payment
支店 (してん): branch office"
止,stop,"停止 (ていし): stoppage
禁止 (きんし): prohibition
中止 (ちゅうし): suspension
防止 (ぼうし): prevention
止める (とめる): to stop"
氏,family name,氏 (し): Mr
尺,shaku,
手,hand,"手 (て): hand
相手 (あいて): companion
選手 (せんしゅ): player (sports)
勝手 (かって): one's own convenience
苦手 (にがて): poor (at)"
収,take in,"収録 (しゅうろく): compilation
収入 (しゅうにゅう): income
収集 (しゅうしゅう): collecting
買収 (ばいしゅう): acquisition (esp. corporate)
収穫 (しゅうかく): harvest"
升,measuring box,
少,few,"少し (すこし): small quantity
少ない (すくない): few
少なくとも (すくなくとも): at least
多少 (たしょう): more or less
少々 (しょうしょう): just a minute"
冗,superfluous,冗談 (じょうだん): jest
心,heart,"心 (こころ): mind
心配 (しんぱい): worry
中心 (ちゅうしん): center
安心 (あんしん): relief
関心 (かんしん): concern"
仁,humanity,
水,water,"水 (みず): water (esp. cool, fresh water, e.g. drinking water)
水分 (すいぶん): water
水道 (すいどう): water supply
水曜日 (すいようび): Wednesday
水準 (すいじゅん): level"
井,well,天井 (てんじょう): ceiling
切,cut,"大切 (たいせつ): important
切れ (きれ): piece
一切 (いっさい): all
切り (きり): end
切り替え (きりかえ): exchange"
双,pair,双方 (そうほう): both parties
太,thick,"太陽 (たいよう): sun
太平洋 (たいへいよう): Pacific Ocean
太鼓 (たいこ): drum
太い (ふとい): fat"
丹,cinnabar,
中,middle,"中 (なか): inside
中国 (ちゅうごく): China
途中 (とちゅう): on the way
中心 (ちゅうしん): center
集中 (しゅうちゅう): concentration"
弔,condolences,
爪,claw,"爪 (つめ): nail (e.g. fingernail, toenail)"
天,heaven,"天気 (てんき): weather
天 (てん): sky
天然 (てんねん): nature
天才 (てんさい): genius
天皇 (てんのう): Emperor of Japan"
斗,big dipper,
屯,barracks,
内,inside,"内容 (ないよう): contents
内 (うち): inside
国内 (こくない): internal
内部 (ないぶ): interior
案内 (あんない): guidance"
匂,scent,匂い (におい): odour
日,day,"日 (ひ): day
日本 (にほん): Japan
今日 (きょう): today
昨日 (きのう): yesterday
明日 (あした): tomorrow"
反,anti-,"反応 (はんのう): reaction
反対 (はんたい): opposition
反省 (はんせい): reflection
反映 (はんえい): reflection (light, image, situation, attitude, etc.)
反 (はん): anti-"
比,compare,"比べ (くらべ): contest
比較 (ひかく): comparison
比較的 (ひかくてき): comparatively
比べる (くらべる): to compare
比 (ひ): ratio"
匹,equal,"匹 (ひき): counter for small animals
匹敵 (ひってき): to be a match for"
不,non-,"不安 (ふあん): anxiety
不思議 (ふしぎ): wonderful
不足 (ふそく): insufficiency
不明 (ふめい): unclear
不可能 (ふかのう): impossible"
夫,husband,"大丈夫 (だいじょうぶ): safe
夫 (おっと): husband
夫婦 (ふうふ): married couple
工夫 (くふう): scheme
夫妻 (ふさい): husband and wife"
父,father,"父 (ちち): father
父親 (ちちおや): father
お父さん (おとうさん): father
親父 (おやじ): one's father
祖父 (そふ): grandfather"
仏,buddha,"仏 (ほとけ): Buddha
仏教 (ぶっきょう): Buddhism"
分,part,"自分 (じぶん): myself
分 (ふん): minute (unit of time)
部分 (ぶぶん): portion
気分 (きぶん): feeling
十分 (じゅうぶん): enough"
文,writing,"文字 (もじ): letter (of alphabet)
文化 (ぶんか): culture
文章 (ぶんしょう): writing
注文 (ちゅうもん): order
文 (ふみ): letter"
片,one-sided,"片手 (かたて): one hand
片方 (かたほう): one side
片隅 (かたすみ): corner"
方,direction,"方 (かた): direction
方法 (ほうほう): method
一方 (いっぽう): one (esp. of two)
方々 (かたがた): they (of people)
仕方 (しかた): way"
乏,scarce,貧乏 (びんぼう): poverty-stricken
木,tree,"木 (き): tree
木曜日 (もくようび): Thursday
木々 (きぎ): (many) trees"
毛,hair,"毛 (け): hair
髪の毛 (かみのけ): hair (head)"
厄,unlucky,厄介 (やっかい): trouble
友,friend,"友達 (ともだち): friend
友人 (ゆうじん): friend
友 (とも): friend
親友 (しんゆう): close friend
友情 (ゆうじょう): friendship"
予,in advance,"予定 (よてい): plans
予想 (よそう): expectation
予約 (よやく): reservation
予算 (よさん): estimate
予防 (よぼう): prevention"
六,six,六 (ろく): six
圧,pressure,"圧力 (あつりょく): pressure
圧倒的 (あっとうてき): overwhelming
電圧 (でんあつ): voltage
圧縮 (あっしゅく): compression
圧倒 (あっとう): to overwhelm (e.g. an opponent)"
以,by means of,"以上 (いじょう): not less than
以外 (いがい): with the exception of
以前 (いぜん): ago
以下 (いか): not exceeding
以降 (いこう): on and after"
右,right,"右 (みぎ): right
左右 (さゆう): left and right
右側 (みぎがわ): right side
右手 (みぎて): right hand"
永,eternity,"永遠 (えいえん): eternity
永久 (えいきゅう): eternity"
凹,concave,
央,center,中央 (ちゅうおう): centre
加,add,"参加 (さんか): participation
追加 (ついか): addition
増加 (ぞうか): increase
加工 (かこう): manufacturing
加速 (かそく): acceleration"
可,possible,"可能 (かのう): possible
可愛い (かわいい): cute
不可能 (ふかのう): impossible
許可 (きょか): permission
可 (か): passable"
瓦,tile,瓦礫 (がれき): rubble
外,outside,"以外 (いがい): with the exception of
外 (そと): outside
海外 (かいがい): foreign
外国 (がいこく): foreign country
意外 (いがい): unexpected"
且,moreover,且つ (かつ): yet
刊,publish,"刊行 (かんこう): publication
創刊 (そうかん): launching (e.g. newspaper)
週刊 (しゅうかん): weekly publication"
甘,sweet,"甘い (あまい): sweet-tasting
甘え (あまえ): lack of self-reliance"
丘,hill,丘 (おか): hill
旧,old times,"旧 (きゅう): ex-
復旧 (ふっきゅう): restoration"
去,leave,"過去 (かこ): the past
去年 (きょねん): last year
除去 (じょきょ): removal
去る (さる): to leave
撤去 (てっきょ): withdrawal"
巨,gigantic,"巨大 (きょだい): huge
巨人 (きょじん): giant"
玉,ball,"玉 (たま): ball
目玉 (めだま): eyeball
埼玉 (さいたま): Saitama (city)
玉ねぎ (たまねぎ): onion (Allium cepa)"
句,phrase,"句 (く): section (i.e. of text)
俳句 (はいく): haiku
句集 (くしゅう): collection of haiku poems
文句 (もんく): complaint
挙句 (あげく): in the end (after a long process)"
兄,older brother,"兄 (あに): elder brother
兄弟 (きょうだい): siblings
兄さん (にいさん): older brother
兄ちゃん (あんちゃん): (one's) older brother"
穴,hole,穴 (あな): hole
玄,mysterious,玄関 (げんかん): entrance
古,old,"古い (ふるい): old
名古屋 (なごや): Nagoya (city)
中古 (ちゅうこ): used
古 (いにしえ): antiquity
古代 (こだい): ancient times"
功,achievement,成功 (せいこう): success
巧,adroit,巧み (たくみ): skillful
広,wide,"広告 (こうこく): advertisement
広い (ひろい): spacious
広島 (ひろしま): Hiroshima (city)
広がる (ひろがる): to spread (out)
広場 (ひろば): plaza"
甲,armor,"甲斐 (かい): effect
甲状腺 (こうじょうせん): thyroid gland"
号,number,"号 (ごう): number
番号 (ばんごう): number
信号 (しんごう): signal
記号 (きごう): symbol
暗号 (あんごう): code"
込,crowded,"書き込み (かきこみ): writing
申し込み (もうしこみ): application
見込み (みこみ): hope
取り込む (とりこむ): to take in
込む (こむ): to be crowded"
左,left,"左 (ひだり): left
左右 (さゆう): left and right
左側 (ひだりがわ): left
左手 (ひだりて): left hand
左上 (ひだりうえ): upper left"
冊,counter for books,冊 (さつ): counter for books
札,tag,"札幌 (さっぽろ): Sapporo (city)
札 (さつ): banknote
改札 (かいさつ): examination of tickets
入札 (にゅうさつ): bid"
皿,dish,皿 (さら): plate
仕,do,"仕事 (しごと): work
仕方 (しかた): way
仕様 (しよう): way
仕組み (しくみ): structure
仕上げ (しあげ): finish"
史,history,"歴史 (れきし): history
史 (し): history
史上 (しじょう): in history"
司,director,"上司 (じょうし): (one's) superior
寿司 (すし): sushi
司会 (しかい): leading a meeting
司令 (しれい): command
司法 (しほう): administration of justice"
四,four,"四 (し): four
四国 (しこく): Shikoku (smallest of the four main islands of Japan)
四季 (しき): four seasons"
市,market,"市 (いち): market
市場 (いちば): (town) market
市民 (しみん): citizen
都市 (とし): town
市内 (しない): (within a) city"
矢,arrow,矢 (や): arrow
示,indicate,"表示 (ひょうじ): indication
展示 (てんじ): exhibition
示し (しめし): lesson
示す (しめす): to (take out and) show
指示 (しじ): indication"
叱,scold,
失,lose,"失敗 (しっぱい): failure
失礼 (しつれい): discourtesy
失業 (しつぎょう): unemployment
損失 (そんしつ): loss (of assets, profit, etc.)
失う (うしなう): to lose"
写,copy,"写真 (しゃしん): photograph
描写 (びょうしゃ): depiction
写生 (しゃせい): sketching
写し (うつし): copy"
主,master,"主義 (しゅぎ): doctrine
主 (おも): chief
主張 (しゅちょう): claim
主人公 (しゅじんこう): protagonist
民主党 (みんしゅとう): Democratic Party (esp. DPJ or US Democratic Party)"
囚,captured,
汁,soup,"汁 (しる): juice
味噌汁 (みそしる): miso soup"
出,exit,"出 (で): coming out
出来 (しゅったい): occurrence
出し (だし): dashi (Japanese soup stock made from fish and kelp)
出来る (できる): to be able (in a position) to do
出る (でる): to leave"
処,dispose,"処理 (しょり): processing
対処 (たいしょ): dealing with
何処 (どこ): where
処分 (しょぶん): disposal
処置 (しょち): measure"
召,summon,
尻,buttocks,"尻 (しり): buttocks
尻尾 (しっぽ): tail (animal)"
申,say,"申し訳 (もうしわけ): apology
申請 (しんせい): application
申し込み (もうしこみ): application
申告 (しんこく): report"
世,world,"世界 (せかい): the world
世代 (せだい): generation
世の中 (よのなか): society
世界中 (せかいじゅう): around the world
世紀 (せいき): century"
正,correct,"正直 (しょうじき): honest
正しい (ただしい): right
修正 (しゅうせい): amendment
正確 (せいかく): accurate
正式 (せいしき): due form"
生,life,"生活 (せいかつ): living
先生 (せんせい): teacher
生き (いき): living
人生 (じんせい): (human) life (i.e. conception to death)
生まれ (うまれ): birth"
斥,reject,
