杯,8
拍,8
泊,8
迫,8
板,8
版,8
彼,8
披,8
肥,8
非,8
泌,8
表,8
苗,8
府,8
怖,8
阜,8
附,8
侮,8
武,8
服,8
沸,8
物,8
併,8
並,8
歩,8
奉,8
宝,8
抱,8
放,8
法,8
泡,8
房,8
肪,8
牧,8
奔,8
妹,8
枚,8
枕,8
抹,8
味,8
岬,8
命,8
明,8
免,8
茂,8
盲,8
門,8
夜,8
弥,8
油,8
拉,8
林,8
例,8
炉,8
和,8
枠,8
哀,9
威,9
為,9
畏,9
胃,9
茨,9
咽,9
姻,9
映,9
栄,9
疫,9
怨,9
屋,9
卸,9
音,9
科,9
架,9
悔,9
海,9
界,9
皆,9
垣,9
柿,9
革,9
括,9
活,9
冠,9
巻,9
看,9
紀,9
軌,9
客,9
逆,9
虐,9
急,9
級,9
糾,9
峡,9
挟,9
狭,9
軍,9
係,9
型,9
契,9
計,9
建,9
研,9
県,9
限,9
孤,9
弧,9
故,9
枯,9
後,9
侯,9
厚,9
恒,9
洪,9
皇,9
紅,9
荒,9
郊,9
香,9
拷,9
恨,9
査,9
砂,9
砕,9
削,9
昨,9
柵,9
咲,9
拶,9
姿,9
思,9
指,9
施,9
持,9
室,9
狩,9
首,9
拾,9
秋,9
臭,9
柔,9
重,9
祝,9
俊,9
春,9
盾,9
叙,9
昭,9
乗,9
城,9
浄,9
拭,9
食,9
侵,9
信,9
津,9
神,9
甚,9
帥,9
是,9
政,9
星,9
牲,9
省,9
窃,9
宣,9
専,9
泉,9
浅,9
洗,9
染,9
前,9
祖,9
奏,9
相,9
荘,9
草,9
送,9
促,9
則,9
俗,9
耐,9
待,9
怠,9
胎,9
退,9
単,9
炭,9
胆,9
段,9
茶,9
昼,9
柱,9
挑,9
勅,9
珍,9
追,9
亭,9
貞,9
帝,9
訂,9
点,9
度,9
怒,9
逃,9
洞,9
峠,9
独,9
栃,9
南,9
虹,9
派,9
背,9
肺,9
畑,9
発,9
卑,9
飛,9
眉,9
美,9
秒,9
品,9
訃,9
負,9
赴,9
封,9
風,9
柄,9
変,9
便,9
保,9
胞,9
某,9
冒,9
勃,9
盆,9
昧,9
迷,9
面,9
約,9
勇,9
幽,9
洋,9
要,9
律,9
柳,9
侶,9
厘,9
郎,9
挨,10
案,10
員,10
院,10
唄,10
畝,10
浦,10
益,10
悦,10
宴,10
桜,10
翁,10
俺,10
恩,10
夏,10
家,10
荷,10
華,10
蚊,10
害,10
格,10
核,10
株,10
釜,10
陥,10
既,10
記,10
起,10
飢,10
鬼,10
帰,10
宮,10
挙,10
恐,10
恭,10
胸,10
脅,10
訓,10
郡,10
恵,10
桁,10
倹,10
兼,10
剣,10
拳,10
軒,10
原,10
個,10
庫,10
娯,10
悟,10
候,10
校,10
耕,10
航,10
貢,10
降,10
高,10
剛,10
骨,10
根,10
唆,10
差,10
座,10
挫,10
宰,10
栽,10
剤,10
財,10
索,10
殺,10
桟,10
蚕,10
残,10
師,10
恣,10
紙,10
脂,10
時,10
疾,10
射,10
借,10
酌,10
弱,10
殊,10
珠,10
酒,10
修,10
袖,10
従,10
准,10
殉,10
純,10
書,10
徐,10
除,10
宵,10
将,10
消,10
症,10
祥,10
称,10
笑,10
辱,10
唇,10
娠,10
振,10
浸,10
真,10
針,10
陣,10
粋,10
衰,10
凄,10
逝,10
席,10
脊,10
隻,10
扇,10
栓,10
租,10
素,10
倉,10
捜,10
挿,10
桑,10
造,10
息,10
捉,10
速,10
孫,10
帯,10
泰,10
託,10
値,10
恥,10
致,10
畜,10
逐,10
秩,10
衷,10
酎,10
捗,10
朕,10
通,10
庭,10
逓,10
哲,10
展,10
徒,10
途,10
倒,10
凍,10
唐,10
島,10
桃,10
討,10
透,10
党,10
胴,10
匿,10
特,10
悩,10
納,10
能,10
破,10
馬,10
俳,10
配,10
倍,10
梅,10
剝,10
班,10
畔,10
般,10
疲,10
秘,10
被,10
姫,10
俵,10
病,10
浜,10
敏,10
浮,10
粉,10
紛,10
陛,10
勉,10
哺,10
捕,10
俸,10
倣,10
峰,10
砲,10
剖,10
紡,10
埋,10
脈,10
眠,10
娘,10
冥,10
耗,10
紋,10
容,10
浴,10
流,10
留,10
竜,10
旅,10
料,10
倫,10
涙,10
烈,10
恋,10
連,10
朗,10
浪,10
脇,10
悪,11
尉,11
異,11
移,11
萎,11
域,11
逸,11
淫,11
陰,11
液,11
菓,11
貨,11
械,11
崖,11
涯,11
殻,11
郭,11
掛,11
喝,11
渇,11
乾,11
勘,11
患,11
貫,11
眼,11
基,11
寄,11
規,11
亀,11
偽,11
菊,11
脚,11
救,11
球,11
虚,11
許,11
魚,11
強,11
教,11
郷,11
菌,11
惧,11
偶,11
掘,11
啓,11
掲,11
渓,11
経,11
蛍,11
健,11
険,11
現,11
舷,11
康,11
控,11
梗,11
黄,11
黒,11
頃,11
婚,11
混,11
痕,11
紺,11
彩,11
採,11
済,11
祭,11
斎,11
細,11
菜,11
埼,11
崎,11
惨,11
産,11
斬,11
視,11
鹿,11
執,11
捨,11
赦,11
斜,11
蛇,11
釈,11
寂,11
授,11
終,11
羞,11
習,11
週,11
渋,11
宿,11
淑,11
粛,11
術,11
庶,11
唱,11
商,11
渉,11
章,11
紹,11
訟,11
剰,11
常,11
情,11
深,11
紳,11
進,11
推,11
酔,11
崇,11
据,11
清,11
盛,11
惜,11
戚,11
責,11
接,11
設,11
雪,11
旋,11
船,11
措,11
粗,11
組,11
巣,11
掃,11
曹,11
曽,11
爽,11
窓,11
側,11
族,11
率,11
唾,11
堆,11
袋,11
逮,11
第,11
脱,11
探,11
淡,11
断,11
窒,11
著,11
帳,11
張,11
彫,11
眺,11
釣,11
頂,11
鳥,11
陳,11
停,11
偵,11
笛,11
添,11
転,11
都,11
悼,11
盗,11
陶,11
動,11
堂,11
得,11
豚,11
貪,11
梨,11
軟,11
捻,11
粘,11
脳,11
婆,11
排,11
敗,11
培,11
陪,11
舶,11
販,11
票,11
描,11
猫,11
貧,11
瓶,11
婦,11
符,11
部,11
副,11
閉,11
偏,11
崩,11
訪,11
望,11
堀,11
麻,11
密,11
務,11
猛,11
問,11
野,11
訳,11
唯,11
悠,11
郵,11
