山,mountain,"山 (やま): mountain
沢山 (たくさん): a lot
登山 (とざん): mountain climbing
富士山 (ふじさん): Mount Fuji
山形 (やまがた): mountain-shape",27
士,gentleman,"同士 (どうし): fellow
博士 (はかせ): expert
弁護士 (べんごし): lawyer
富士山 (ふじさん): Mount Fuji
兵士 (へいし): soldier",28
子,child,"子供 (こども): child
子 (こ): child
様子 (ようす): state
原子力 (げんしりょく): atomic energy
息子 (むすこ): son",29
女,woman,"彼女 (かのじょ): she
女性 (じょせい): woman
女 (おんな): female
女の子 (おんなのこ): girl
女子 (じょし): woman",30
小,small,"小さな (ちいさな): small
小さい (ちいさい): small
小 (しょう): smallness
小説 (しょうせつ): novel
小学校 (しょうがっこう): primary school",31
上,up,"上 (うえ): above
以上 (いじょう): not less than
上げ (あげ): tuck (e.g. in a dress)
上記 (じょうき): above-mentioned
向上 (こうじょう): elevation",32
丈,length,"大丈夫 (だいじょうぶ): safe
丈 (だけ): only
丈夫 (じょうぶ): healthy",33
刃,blade,刃 (は): edge (of a knife or sword),34
寸,measurement,寸前 (すんぜん): just before,35
夕,evening,"夕方 (ゆうがた): evening
夕食 (ゆうしょく): evening meal
夕飯 (ゆうはん): evening meal
夕 (ゆう): evening",36
千,thousand,"千 (せん): 1,000
千葉 (ちば): Chiba (city)",37
川,river,"川 (かわ): river
川柳 (せんりゅう): senryū
小川 (おがわ): stream
川崎 (かわさき): Kawasaki (city)",38
大,large,"大 (おお): big
大きな (おおきな): big
大変 (たいへん): very
大学 (だいがく): university
大切 (たいせつ): important",39
土,soil,"土地 (とち): plot of land
土 (つち): earth
土曜日 (どようび): Saturday
土産 (みやげ): present
土日 (どにち): weekend",40
亡,deceased,死亡 (しぼう): death,41
凡,mediocre,,42
万,ten thousand,"万 (まん): 10,000
万が一 (まんがいち): if by any chance",43
与,give,"与える (あたえる): to give (esp. to someone of lower status)
給与 (きゅうよ): pay
関与 (かんよ): participation
与党 (よとう): ruling party
付与 (ふよ): grant",44
引,pull,"取引 (とりひき): transactions
引用 (いんよう): quotation
引き続き (ひきつづき): continuously
引っ越し (ひっこし): moving (dwelling, office, etc.)
割引 (わりびき): discount",45
円,round,円 (えん): yen,46
王,king,"王 (おう): king
王子 (おうじ): prince
女王 (じょおう): queen
王国 (おうこく): kingdom",47
化,change,"変化 (へんか): change
文化 (ぶんか): culture
進化 (しんか): evolution
強化 (きょうか): strengthening
化粧 (けしょう): make-up",48
火,fire,"火 (ひ): fire
花火 (はなび): fireworks
火曜日 (かようび): Tuesday
火力 (かりょく): heating power
火災 (かさい): conflagration",49
牙,tusk,,50
介,jammed in,"紹介 (しょうかい): introduction
介護 (かいご): nursing
介入 (かいにゅう): intervention
厄介 (やっかい): trouble",51
刈,reap,,52
牛,cow,"牛 (うし): cattle (Bos taurus)
牛乳 (ぎゅうにゅう): (cow's) milk
牛肉 (ぎゅうにく): beef",53
凶,villain,,54
斤,axe,,55
区,ward,"区 (く): ward
地区 (ちく): district
区別 (くべつ): distinction
区域 (くいき): limits
区画 (くかく): division",56
欠,lack,"欠点 (けってん): fault
不可欠 (ふかけつ): indispensable",57
月,month,"月 (つき): moon
ヶ月 (かげつ): months (period of)
今月 (こんげつ): this month
３月 (さんがつ): March
９月 (くがつ): September",58
犬,dog,"犬 (いぬ): dog (Canis (lupus) familiaris)
愛犬 (あいけん): pet dog",59
元,origin,"元 (もと): origin
元気 (げんき): lively
地元 (じもと): home area
元々 (もともと): originally
次元 (じげん): dimension",60
幻,phantasm,"幻想 (げんそう): fantasy
幻 (まぼろし): phantom",61
戸,door,"神戸 (こうべ): Kobe (city)
江戸 (えど): Edo (old name of Tokyo)
戸 (と): door (esp. Japanese-style)",62
五,five,五 (ご): five,63
互,mutually,"相互 (そうご): mutual
互換 (ごかん): interchange
互いに (たがいに): mutually
互い (たがい): each other",64
午,noon,"午後 (ごご): afternoon
午前 (ごぜん): morning",65
公,public,"公開 (こうかい): opening to the public
主人公 (しゅじんこう): protagonist
公園 (こうえん): (public) park
公式 (こうしき): formal
公演 (こうえん): public performance",66
勾,capture,,67
孔,cavity,,68
今,now,"今 (いま): now
今日 (きょう): today
今回 (こんかい): now
今年 (ことし): this year
今後 (こんご): from now on",69
支,branch,"支援 (しえん): support
支持 (しじ): support
支配 (しはい): domination
支払い (しはらい): payment
支店 (してん): branch office",70
止,stop,"停止 (ていし): stoppage
禁止 (きんし): prohibition
中止 (ちゅうし): suspension
防止 (ぼうし): prevention
止める (とめる): to stop",71
氏,family name,氏 (し): Mr,72
尺,shaku,,73
手,hand,"手 (て): hand
相手 (あいて): companion
選手 (せんしゅ): player (sports)
勝手 (かって): one's own convenience
苦手 (にがて): poor (at)",74
収,take in,"収録 (しゅうろく): compilation
収入 (しゅうにゅう): income
収集 (しゅうしゅう): collecting
買収 (ばいしゅう): acquisition (esp. corporate)
収穫 (しゅうかく): harvest",75
升,measuring box,,76
少,few,"少し (すこし): small quantity
少ない (すくない): few
少なくとも (すくなくとも): at least
多少 (たしょう): more or less
少々 (しょうしょう): just a minute",77
冗,superfluous,冗談 (じょうだん): jest,78
心,heart,"心 (こころ): mind
心配 (しんぱい): worry
中心 (ちゅうしん): center
安心 (あんしん): relief
関心 (かんしん): concern",79
仁,humanity,,80
水,water,"水 (みず): water (esp. cool, fresh water, e.g. drinking water)
水分 (すいぶん): water
水道 (すいどう): water supply
水曜日 (すいようび): Wednesday
水準 (すいじゅん): level",81
井,well,天井 (てんじょう): ceiling,82
切,cut,"大切 (たいせつ): important
切れ (きれ): piece
一切 (いっさい): all
切り (きり): end
切り替え (きりかえ): exchange",83
双,pair,双方 (そうほう): both parties,84
太,thick,"太陽 (たいよう): sun
太平洋 (たいへいよう): Pacific Ocean
太鼓 (たいこ): drum
太い (ふとい): fat",85
丹,cinnabar,,86
中,middle,"中 (なか): inside
中国 (ちゅうごく): China
途中 (とちゅう): on the way
中心 (ちゅうしん): center
集中 (しゅうちゅう): concentration",87
弔,condolences,,88
爪,claw,"爪 (つめ): nail (e.g. fingernail, toenail)",89
天,heaven,"天気 (てんき): weather
天 (てん): sky
天然 (てんねん): nature
天才 (てんさい): genius
天皇 (てんのう): Emperor of Japan",90
斗,big dipper,,91
屯,barracks,,92
内,inside,"内容 (ないよう): contents
内 (うち): inside
国内 (こくない): internal
内部 (ないぶ): interior
案内 (あんない): guidance",93
匂,scent,匂い (におい): odour,94
日,day,"日 (ひ): day
日本 (にほん): Japan
今日 (きょう): today
昨日 (きのう): yesterday
明日 (あした): tomorrow",95
反,anti-,"反応 (はんのう): reaction
反対 (はんたい): opposition
反省 (はんせい): reflection
反映 (はんえい): reflection (light, image, situation, attitude, etc.)
反 (はん): anti-",96
比,compare,"比べ (くらべ): contest
比較 (ひかく): comparison
比較的 (ひかくてき): comparatively
比べる (くらべる): to compare
比 (ひ): ratio",97
匹,equal,"匹 (ひき): counter for small animals
匹敵 (ひってき): to be a match for",98
不,non-,"不安 (ふあん): anxiety
不思議 (ふしぎ): wonderful
不足 (ふそく): insufficiency
不明 (ふめい): unclear
不可能 (ふかのう): impossible",99
夫,husband,"大丈夫 (だいじょうぶ): safe
夫 (おっと): husband
夫婦 (ふうふ): married couple
工夫 (くふう): scheme
夫妻 (ふさい): husband and wife",100
父,father,"父 (ちち): father
父親 (ちちおや): father
お父さん (おとうさん): father
親父 (おやじ): one's father
祖父 (そふ): grandfather",101
仏,buddha,"仏 (ほとけ): Buddha
仏教 (ぶっきょう): Buddhism",102
分,part,"自分 (じぶん): myself
分 (ふん): minute (unit of time)
部分 (ぶぶん): portion
気分 (きぶん): feeling
十分 (じゅうぶん): enough",103
文,writing,"文字 (もじ): letter (of alphabet)
文化 (ぶんか): culture
文章 (ぶんしょう): writing
注文 (ちゅうもん): order
文 (ふみ): letter",104
片,one-sided,"片手 (かたて): one hand
片方 (かたほう): one side
片隅 (かたすみ): corner",105
方,direction,"方 (かた): direction
方法 (ほうほう): method
一方 (いっぽう): one (esp. of two)
方々 (かたがた): they (of people)
仕方 (しかた): way",106
乏,scarce,貧乏 (びんぼう): poverty-stricken,107
木,tree,"木 (き): tree
木曜日 (もくようび): Thursday
木々 (きぎ): (many) trees",108
毛,hair,"毛 (け): hair
髪の毛 (かみのけ): hair (head)",109
厄,unlucky,厄介 (やっかい): trouble,110
友,friend,"友達 (ともだち): friend
友人 (ゆうじん): friend
友 (とも): friend
親友 (しんゆう): close friend
友情 (ゆうじょう): friendship",111
予,in advance,"予定 (よてい): plans
予想 (よそう): expectation
予約 (よやく): reservation
予算 (よさん): estimate
予防 (よぼう): prevention",112
六,six,六 (ろく): six,113
圧,pressure,"圧力 (あつりょく): pressure
圧倒的 (あっとうてき): overwhelming
電圧 (でんあつ): voltage
圧縮 (あっしゅく): compression
圧倒 (あっとう): to overwhelm (e.g. an opponent)",114
以,by means of,"以上 (いじょう): not less than
以外 (いがい): with the exception of
以前 (いぜん): ago
以下 (いか): not exceeding
以降 (いこう): on and after",115
右,right,"右 (みぎ): right
左右 (さゆう): left and right
右側 (みぎがわ): right side
右手 (みぎて): right hand",116
