亜 a
宛 a-teru
挨 ai
愛 ai
曖 ai
案 an
嵐 arashi
圧 atsu
扱 atsuka-u
婆 ba
猛 mou
娘 musume
脈 myaku
妙 myou
那 na
奈 na
鍋 nabe
梨 nashi
謎 nazo
寧 nei
念 nen
弐 ni
虹 niji
肉 niku
妊 nin
匂 nio-u
能 nou
脳 nou
農 nou
尿 nyou
岡 oka
億 oku
憶 oku
臆 oku
恩 on
俺 ore
虞 osore
乙 otsu
凹 ou
央 ou
往 ou
旺 ou
欧 ou
翁 ou
王 ou
拉 ra
羅 ra
酪 raku
覧 ran
濫 ran
欄 ran
辣 ratsu
令 rei
零 rei
隷 rei
齢 rei
歴 reki
廉 ren
錬 ren
列 retsu
烈 retsu
吏 ri
理 ri
痢 ri
璃 ri
陸 riku
厘 rin
倫 rin
律 ritsu
慄 ritsu
呂 ro
炉 ro
賂 ro
録 roku
論 ron
労 rou
郎 rou
浪 rou
廊 rou
楼 rou
瑠 ru
累 rui
塁 rui
略 ryaku
侶 ryo
虜 ryo
慮 ryo
両 ryou
料 ryou
猟 ryou
僚 ryou
領 ryou
寮 ryou
療 ryou
瞭 ryou
了 ryou
隆 ryuu
硫 ryuu
佐 sa
沙 sa
査 sa
詐 sa
咲 sa-ku
采 sai
宰 sai
栽 sai
斎 sai
埼 sai
債 sai
歳 sai
才 sai
崎 saki
昨 saku
柵 saku
索 saku
策 saku
錯 saku
桟 san
算 san
賛 san
皿 sara
拶 satsu
察 satsu
瀬 se
制 sei
征 sei
斉 sei
牲 sei
凄 sei
聖 sei
精 sei
製 sei
醒 sei
斥 seki
析 seki
席 seki
脊 seki
隻 seki
戚 seki
績 seki
籍 seki
仙 sen
宣 sen
栓 sen
旋 sen
腺 sen
詮 sen
践 sen
箋 sen
線 sen
遷 sen
繊 sen
窃 setsu
摂 setsu
舎 sha
赦 sha
尺 shaku
釈 shaku
爵 shaku
史 shi
司 shi
祉 shi
肢 shi
師 shi
恣 shi
視 shi
詞 shi
嗣 shi
詩 shi
資 shi
誌 shi
摯 shi
士 shi
芝 shiba
鹿 shika
式 shiki
識 shiki
芯 shin
信 shin
娠 shin
紳 shin
審 shin
尻 shiri
疾 shitsu
嫉 shitsu
処 sho
庶 sho
署 sho
諸 sho
嘱 shoku
職 shoku
匠 shou
抄 shou
肖 shou
尚 shou
昭 shou
将 shou
症 shou
祥 shou
称 shou
渉 shou
章 shou
紹 shou
訟 shou
掌 shou
晶 shou
硝 shou
粧 shou
証 shou
奨 shou
彰 shou
衝 shou
賞 shou
礁 shou
朱 shu
珠 shu
叔 shuku
淑 shuku
粛 shuku
俊 shun
囚 shuu
羞 shuu
週 shuu
衆 shuu
酬 shuu
祖 so
租 so
措 so
塑 so
即 soku
則 soku
遜 son
卒 sotsu
壮 sou
荘 sou
曹 sou
曽 sou
僧 sou
想 sou
層 sou
総 sou
槽 sou
踪 sou
燥 sou
須 su
