亜 a
宛 a-teru
挨 ai
愛 ai
曖 ai
案 an
嵐 arashi
圧 atsu
扱 atsuka-u
婆 ba
討 tou/u-tsu
湯 tou/yu
漬 tsu-keru/tsu-karu
追 tsui/o-u
雨 u/ame
運 un/hako-bu
雲 un/kumo
唄 uta/bai
賄 wai/makana-u
惑 waku/mado-u
腕 wan/ude
野 ya/no
役 yaku/eki
薬 yaku/kusuri
躍 yaku/odo-ru
訳 yaku/wake
与 yo/ata-eru
誉 yo/homa-re
抑 yoku/osa-eru
翼 yoku/tsubasa
妖 you/aya-shii
葉 you/ha
羊 you/hitsuji
窯 you/kama
腰 you/koshi
用 you/mochi-iru
幼 you/osana-i
様 you/sama
養 you/yashina-u
油 yu/abura
諭 yu/sato-su
遊 yuu/aso-bu
勇 yuu/isa-mu
誘 yuu/saso-u
友 yuu/tomo
湧 yuu/wa-ku
座 za/suwa-ru
在 zai/a-ru
罪 zai/tsumi
斬 zan/ki-ru
雑 zatsu/zou
前 zen/mae
然 zen/nen
繕 zen/tsukuro-u
善 zen/yo-i
舌 zetsu/shita
蔵 zou/kura
贈 zou/oku-ru
造 zou/tsuku-ru
哀 ai/awa-re/awa-remu
悪 aku/o/waru-i
売 bai/u-ru/u-reru
米 bei/mai/kome
便 ben/bin/tayo-ri
備 bi/sona-eru/sona-waru
暮 bo/ku-reru/ku-rasu
木 boku/moku/ki
暴 bou/aba-ku/aba-reru
膨 bou/fuku-ramu/fuku-reru
望 bou/mou/nozo-mu
舞 bu/ma-u/mai
文 bun/mon/fumi
物 butsu/motsu/mono
描 byou/ega-ku/ka-ku
病 byou/ya-mu/yamai
値 chi/ne/atai
鎮 chin/shizu-meru/shizu-maru
沈 chin/shizu-mu/shizu-meru
著 cho/arawa-su/ichijiru-shii
跳 chou/ha-neru/to-bu
頂 chou/itada-ku/itadaki
兆 chou/kiza-su/kiza-shi
超 chou/ko-eru/ko-su
澄 chou/su-mu/su-masu
濁 daku/nigo-ru/nigo-su
男 dan/nan/otoko
断 dan/ta-tsu/kotowa-ru
脱 datsu/nu-gu/nu-geru
怒 do/ika-ru/oko-ru
土 do/to/tsuchi
読 doku/toku/yo-mu
鈍 don/nibu-i/nibu-ru
動 dou/ugo-ku/ugo-kasu
易 eki/i/yasa-shii
越 etsu/ko-su/ko-eru
富 fu/to-mu/tomi
付 fu/tsu-keru/tsu-ku
伏 fuku/fu-seru/fu-su
粉 fun/ko/kona
沸 futsu/wa-ku/wa-kasu
我 ga/ware/wa
含 gan/fuku-mu/fuku-meru
現 gen/arawa-reru/arawa-su
元 gen/gan/moto
減 gen/he-ru/he-rasu
厳 gen/ogoso-ka/kibi-shii
月 getsu/gatsu/tsuki
偽 gi/itsuwa-ru/nise
五 go/itsu/itsu-tsu
語 go/kata-ru/kata-rau
群 gun/mu-reru/mu-re
逆 gyaku/saka/saka-rau
御 gyo/go/on
魚 gyo/uo/sakana
仰 gyou/ao-gu/oo-se
業 gyou/gou/waza
凝 gyou/ko-ru/ko-rasu
破 ha/yabu-ru/yabu-reru
廃 hai/suta-reru/suta-ru
泊 haku/to-maru/to-meru
板 han/ban/ita
伴 han/ban/tomona-u
反 han/so-ru/so-rasu
煩 han/wazura-u/wazura-wasu
柄 hei/gara/e
辺 hen/ata-ri/be
変 hen/ka-waru/ka-eru
返 hen/kae-su/kae-ru
悲 hi/kana-shii/kana-shimu
飛 hi/to-bu/to-basu
費 hi/tsui-yasu/tsui-eru
貧 hin/bin/mazu-shii
翻 hon/hirugae-ru/hirugae-su
飽 hou/a-kiru/a-kasu
崩 hou/kuzu-reru/kuzu-su
訪 hou/otozu-reru/tazu-neru
氷 hyou/koori/hi
違 i/chiga-u/chiga-eru
囲 i/kako-mu/kako-u
慰 i/nagusa-meru/nagusa-mu
移 i/utsu-ru/utsu-su
引 in/hi-ku/hi-keru
陰 in/kage/kage-ru
隠 in/kaku-su/kaku-reru
蛇 ja/da/hebi
若 jaku/waka-i/mo-shikuha
餌 ji/esa/e
自 ji/shi/mizuka-ra
示 ji/shi/shime-su
甚 jin/hanaha-da/hanaha-dashii
人 jin/nin/hito
実 jitsu/mi/mino-ru
乗 jou/no-ru/no-seru
畳 jou/tata-mu/tatami
常 jou/tsune/toko
授 ju/sazu-keru/sazu-karu
受 ju/u-keru/u-karu
従 juu/shitaga-u/shitaga-eru
住 juu/su-mu/su-mau
掛 ka-keru/ka-karu/kakari
架 ka/ka-keru/ka-karu
加 ka/kuwa-eru/kuwa-waru
歌 ka/uta/uta-u
嫁 ka/yome/totsu-gu
改 kai/arata-meru/arata-maru
怪 kai/aya-shii/aya-shimu
会 kai/e/a-u
壊 kai/kowa-su/kowa-reru
回 kai/mawa-ru/mawa-su
潰 kai/tsubu-su/tsubu-reru
隔 kaku/heda-teru/heda-taru
角 kaku/kado/tsuno
確 kaku/tashi-ka/tashi-kameru
干 kan/ho-su/hi-ru
換 kan/ka-eru/ka-waru
乾 kan/kawa-ku/kawa-kasu
巻 kan/ma-ku/maki
慣 kan/na-reru/na-rasu
陥 kan/ochii-ru/otoshii-reru
関 kan/seki/kaka-waru
恵 kei/e/megu-mu
計 kei/haka-ru/haka-rau
憩 kei/iko-i/iko-u
係 kei/kaka-ru/kakari
軽 kei/karu-i/karo-yaka
傾 kei/katamu-ku/katamu-keru
経 kei/kyou/he-ru
携 kei/tazusa-eru/tazusa-waru
懸 ken/ka-keru/ka-karu
嫌 ken/kira-u/iya
建 ken/ta-teru/ta-tsu
遣 ken/tsuka-u/tsuka-wasu
欠 ketsu/ka-keru/ka-ku
決 ketsu/ki-meru/ki-maru
忌 ki/i-mu/i-mawashii
帰 ki/kae-ru/kae-su
基 ki/moto/motoi
寄 ki/yo-ru/yo-seru
金 kin/kon/kane
勤 kin/tsuto-meru/tsuto-maru
古 ko/furu-i/furu-su
枯 ko/ka-reru/ka-rasu
己 ko/ki/onore
黒 koku/kuro/kuro-i
今 kon/kin/ima
恨 kon/ura-mu/ura-meshii
慌 kou/awa-teru/awa-tadashii
紅 kou/beni/kurenai
光 kou/hika-ru/hikari
構 kou/kama-eru/kama-u
好 kou/kono-mu/su-ku
口 kou/ku/kuchi
黄 kou/ou/ki
駆 ku/ka-keru/ka-ru
挙 kyo/a-geru/a-garu
去 kyo/ko/sa-ru
曲 kyoku/ma-garu/ma-geru
挟 kyou/hasa-mu/hasa-maru
狂 kyou/kuru-u/kuru-oshii
驚 kyou/odoro-ku/odoro-kasu
教 kyou/oshi-eru/oso-waru
恐 kyou/oso-reru/oso-roshii
供 kyou/sona-eru/tomo
宮 kyuu/gū/miya
窮 kyuu/kiwa-meru/kiwa-maru
満 man/mi-chiru/mi-tasu
末 matsu/batsu/sue
命 mei/myou/inochi
名 mei/myou/na
滅 metsu/horo-biru/horo-bosu
味 mi/aji/aji-wau
眠 min/nemu-ru/nemu-i
問 mon/to-u/to-i
無 mu/bu/na-i
務 mu/tsuto-meru/tsuto-maru
難 nan/kata-i/muzuka-shii
軟 nan/yawa-raka/yawa-rakai
二 ni/futa/futa-tsu
任 nin/maka-seru/maka-su
忍 nin/shino-bu/shino-baseru
悩 nou/naya-mu/naya-masu
納 nou/osa-meru/osa-maru
乳 nyuu/chichi/chi
押 ou/o-su/o-saeru
落 raku/o-chiru/o-tosu
乱 ran/mida-reru/mida-su
励 rei/hage-mu/hage-masu
戻 rei/modo-su/modo-ru
鈴 rei/rin/suzu
霊 rei/ryou/tama
裂 retsu/sa-ku/sa-keru
離 ri/hana-reru/hana-su
隣 rin/tona-ru/tonari
立 ritsu/ta-tsu/ta-teru
籠 rou/kago/ko-moru
老 rou/o-iru/fu-keru
力 ryoku/riki/chikara
涼 ryou/suzu-shii/suzu-mu
流 ryuu/naga-reru/naga-su
留 ryuu/to-meru/to-maru
砂 sa/sha/suna
砕 sai/kuda-ku/kuda-keru
祭 sai/matsu-ru/matsu-ri
載 sai/no-seru/no-ru
済 sai/su-mu/su-masu
裁 sai/ta-tsu/saba-ku
作 saku/sa/tsuku-ru
惨 san/zan/miji-me
擦 satsu/su-ru/su-reru
青 sei/ao/ao-i
晴 sei/ha-reru/ha-rasu
請 sei/ko-u/u-keru
成 sei/na-ru/na-su
西 sei/sai/nishi
世 sei/se/yo
整 sei/totono-eru/totono-u
逝 sei/yu-ku/i-ku
惜 seki/o-shii/o-shimu
積 seki/tsu-mu/tsu-moru
潜 sen/hiso-mu/mogu-ru
戦 sen/ikusa/tataka-u
占 sen/shi-meru/urana-u
羨 sen/uraya-mu/uraya-mashii
切 setsu/ki-ru/ki-reru
写 sha/utsu-su/utsu-ru
始 shi/haji-meru/haji-maru
試 shi/kokoro-miru/tame-su
志 shi/kokoroza-su/kokorozashi
雌 shi/me/mesu
刺 shi/sa-su/sa-saru
施 shi/se/hodoko-su
子 shi/su/ko
止 shi/to-maru/to-meru
私 shi/watakushi/watashi
指 shi/yubi/sa-su
七 shichi/nana/nana-tsu
震 shin/furu-u/furu-eru
浸 shin/hita-su/hita-ru
神 shin/jin/kami
寝 shin/ne-ru/ne-kasu
進 shin/susu-mu/susu-meru
湿 shitsu/shime-ru/shime-su
執 shitsu/shuu/to-ru
殖 shoku/fu-eru/fu-yasu
拭 shoku/fu-ku/nugu-u
触 shoku/fu-reru/sawa-ru
色 shoku/shiki/iro
織 shoku/shiki/o-ru
植 shoku/u-eru/u-waru
勝 shou/ka-tsu/masa-ru
消 shou/ki-eru/ke-su
少 shou/suku-nai/suko-shi
床 shou/toko/yuka
笑 shou/wara-u/e-mu
焼 shou/ya-ku/ya-keru
腫 shu/ha-reru/ha-rasu
狩 shu/ka-ru/ka-ri
守 shu/mamo-ru/mo-ri
主 shu/nushi/omo
出 shutsu/de-ru/da-su
拾 shuu/jū/hiro-u
臭 shuu/kusa-i/nio-u
終 shuu/o-waru/o-eru
収 shuu/osa-meru/osa-maru
修 shuu/osa-meru/osa-maru
就 shuu/tsu-ku/tsu-keru
愁 shuu/ure-eru/ure-i
組 so/ku-mu/kumi
疎 so/uto-i/uto-mu
損 son/soko-nau/soko-neru
率 sotsu/ritsu/hiki-iru
操 sou/misao/ayatsu-ru
相 sou/shou/ai
装 sou/shou/yosoo-u
垂 sui/ta-reru/ta-rasu
数 suu/kazu/kazo-eru
替 tai/ka-eru/ka-waru
帯 tai/o-biru/obi
怠 tai/okota-ru/nama-keru
退 tai/shirizo-ku/shirizo-keru
体 tai/tei/karada
担 tan/katsu-gu/nina-u
嘆 tan/nage-ku/nage-kawashii
探 tan/sagu-ru/saga-su
締 tei/shi-maru/shi-meru
滴 teki/shizuku/shitata-ru
添 ten/so-eru/so-u
都 to/tsu/miyako
渡 to/wata-ru/wata-su
得 toku/e-ru/u-ru
当 tou/a-taru/a-teru
踏 tou/fu-mu/fu-maeru
凍 tou/koo-ru/kogo-eru
答 tou/kota-eru/kota-e
倒 tou/tao-reru/tao-su
登 tou/to/nobo-ru
羽 u/ha/hane
右 u/yuu/migi
話 wa/hana-su/hanashi
夜 ya/yo/yoru
余 yo/ama-ru/ama-su
預 yo/azu-keru/azu-karu
浴 yoku/a-biru/a-biseru
欲 yoku/ho'-suru/ho-shii
揚 you/a-geru/a-garu
要 you/kaname/i-ru
踊 you/odo-ru/odo-ri
謡 you/utai/uta-u
癒 yu/i-eru/i-yasu
由 yu/yuu/yoshi
雄 yuu/o/osu
有 yuu/u/a-ru
優 yuu/yasa-shii/sugu-reru
残 zan/noko-ru/noko-su
全 zen/matta-ku/sube-te
続 zoku/tsuzu-ku/tsuzu-keru
図 zu/to/haka-ru
聞 bun/mon/ki-ku/ki-koeru
遅 chi/oku-reru/oku-rasu/oso-i
懲 chou/ko-riru/ko-rasu/ko-rashimeru
調 chou/shira-beru/totono-u/totono-eru
弾 dan/hi-ku/hazu-mu/tama
殿 den/ten/tono/dono
伝 den/tsuta-waru/tsuta-eru/tsuta-u
栄 ei/saka-eru/ha-e/ha-eru
映 ei/utsu-ru/utsu-su/ha-eru
煙 en/kemu-ru/kemuri/kemu-i
延 en/no-biru/no-beru/no-basu
腐 fu/kusa-ru/kusa-reru/kusa-rasu
負 fu/ma-keru/ma-kasu/o-u
覆 fuku/oo-u/kutsugae-su/kutsugae-ru
楽 gaku/raku/tano-shii/tano-shimu
丸 gan/maru/maru-i/maru-meru
言 gen/gon/i-u/koto
八 hachi/ya/ya-tsu/ya'-tsu
白 haku/byaku/shiro/shiro-i
平 hei/byou/tai-ra/hira
卑 hi/iya-shii/iya-shimu/iya-shimeru
歩 ho/bu/aru-ku/ayu-mu
抱 hou/da-ku/ida-ku/kaka-eru
表 hyou/omote/arawa-su/arawa-reru
一 ichi/itsu/hito/hito-tsu
育 iku/soda-tsu/soda-teru/haguku-mu
寂 jaku/sabi/sabi-shii/sabi-reru
次 ji/shi/tsu-gu/tsugi
尽 jin/tsu-kusu/tsu-kiru/tsu-kasu
女 jo/nyo/onna/me
助 jo/tasu-keru/tasu-karu/suke
蒸 jou/mu-su/mu-reru/mu-rasu
潤 jun/uruo-u/uruo-su/uru-mu
十 juu/ji'/too/to
柔 juu/nyū/yawa-raka/yawa-rakai
渋 juu/shibu/shibu-i/shibu-ru
果 ka/ha-tasu/ha-teru/ha-te
化 ka/ke/ba-keru/ba-kasu
家 ka/ke/ie/ya
悔 kai/ku-iru/ku-yamu/kuya-shii
覚 kaku/obo-eru/sa-masu/sa-meru
甘 kan/ama-i/ama-eru/ama-yakasu
間 kan/ken/aida/ma
滑 katsu/kotsu/sube-ru/name-raka
形 kei/gyou/kata/katachi
見 ken/mi-ru/mi-eru/mi-seru
結 ketsu/musu-bu/yu-u/yu-waeru
危 ki/abu-nai/aya-ui/aya-bumu
起 ki/o-kiru/o-koru/o-kosu
詰 kitsu/tsu-meru/tsu-maru/tsu-mu
固 ko/kata-meru/kata-maru/kata-i
荒 kou/ara-i/a-reru/a-rasu
香 kou/ka/kao-ri/kao-ru
興 kou/kyou/oko-ru/oko-su
降 kou/o-riru/o-rosu/fu-ru
幸 kou/saiwa-i/sachi/shiawa-se
更 kou/sara/fu-keru/fu-kasu
絞 kou/shibo-ru/shi-meru/shi-maru
競 kyou/kei/kiso-u/se-ru
脅 kyou/obiya-kasu/odo-su/odo-kasu
狭 kyou/sema-i/seba-meru/seba-maru
九 kyuu/ku/kokono/kokono-tsu
及 kyuu/oyo-bu/oyo-bi/oyo-bosu
休 kyuu/yasu-mu/yasu-maru/yasu-meru
埋 mai/u-meru/u-maru/u-moreru
鳴 mei/na-ku/na-ru/na-rasu
面 men/omo/omote/tsura
燃 nen/mo-eru/mo-yasu/mo-su
日 nichi/jitsu/hi/ka
入 nyuu/i-ru/i-reru/hai-ru
音 on/in/oto/ne
来 rai/ku-ru/kita-ru/kita-su
頼 rai/tano-mu/tano-moshii/tayo-ru
絡 raku/kara-mu/kara-maru/kara-meru
恋 ren/ko-u/koi/koi-shii
連 ren/tsura-naru/tsura-neru/tsu-reru
六 roku/mu/mu-tsu/mu'-tsu
漏 rou/mo-ru/mo-reru/mo-rasu
塞 sai/soku/fusa-gu/fusa-garu
三 san/mi/mi-tsu/mi'-tsu
産 san/u-mu/u-mareru/ubu
清 sei/kiyo-i/kiyo-maru/kiyo-meru
盛 sei/mo-ru/saka-ru/saka-n
省 sei/shou/kaeri-miru/habu-ku
折 setsu/o-ru/ori/o-reru
煮 sha/ni-ru/ni-eru/ni-yasu
新 shin/atara-shii/ara-ta/nii
振 shin/fu-ru/fu-ruu/fu-reru
深 shin/fuka-i/fuka-maru/fuka-meru
伸 shin/no-biru/no-basu/no-beru
親 shin/oya/shita-shii/shita-shimu
食 shoku/ku-u/ku-rau/ta-beru
小 shou/chii-sai/ko/o
傷 shou/kizu/ita-mu/ita-meru
照 shou/te-ru/te-rasu/te-reru
宿 shuku/yado/yado-ru/yado-su
集 shuu/atsu-maru/atsu-meru/tsudo-u
早 sou/haya-i/haya-maru/haya-meru
太 tai/ta/futo-i/futo-ru
端 tan/hashi/ha/hata
低 tei/hiku-i/hiku-meru/hiku-maru
透 tou/su-ku/su-kasu/su-keru
頭 tou/zu/atama/kashira
痛 tsuu/ita-i/ita-mu/ita-meru
通 tsuu/too-ru/too-su/kayo-u
溶 you/to-keru/to-kasu/to-ku
憂 yuu/ure-eru/ure-i/u-i
絶 zetsu/ta-eru/ta-yasu/ta-tsu
増 zou/ma-su/fu-eru/fu-yasu
抜 batsu/nu-ku/nu-keru/nu-kasu/nu-karu
着 chaku/ki-ru/ki-seru/tsu-ku/tsu-keru
恥 chi/ha-jiru/haji/ha-jirau/ha-zukashii
直 choku/jiki/tada-chini/nao-su/nao-ru
大 dai/tai/oo/oo-kii/oo-ini
暖 dan/atata-ka/atata-kai/atata-maru/atata-meru
浮 fu/u-ku/u-kareru/u-kabu/u-kaberu
紛 fun/magi-reru/magi-rasu/magi-rawasu/magi-rawashii
合 gou/ga'/a-u/a-wasu/a-waseru
背 hai/se/sei/somu-ku/somu-keru
剝 haku/ha-gasu/ha-gu/ha-gareru/ha-geru
並 hei/nami/nara-beru/nara-bu/nara-bini
閉 hei/to-jiru/to-zasu/shi-meru/shi-maru
肥 hi/ko-eru/koe/ko-yasu/ko-yashi
放 hou/hana-su/hana-tsu/hana-reru/hou-ru
弱 jaku/yowa-i/yowa-ru/yowa-maru/yowa-meru
過 ka/su-giru/su-gosu/ayama-tsu/ayama-chi
解 kai/ge/to-ku/to-kasu/to-keru
開 kai/hira-ku/hira-keru/a-ku/a-keru
緩 kan/yuru-i/yuru-yaka/yuru-mu/yuru-meru
割 katsu/wa-ru/wari/wa-reru/sa-ku
貴 ki/tatto-i/touto-i/tatto-bu/touto-bu
混 kon/ma-jiru/ma-zaru/ma-zeru/ko-mu
行 kou/gyou/i-ku/yu-ku/okona-u
向 kou/mu-ku/mu-keru/mu-kau/mu-kou
高 kou/taka-i/taka/taka-maru/taka-meru
空 kuu/sora/a-ku/a-keru/kara
極 kyoku/goku/kiwa-meru/kiwa-maru/kiwa-mi
温 on/atata-ka/atata-kai/atata-maru/atata-meru
細 sai/hoso-i/hoso-ru/koma-ka/koma-kai
散 san/chi-ru/chi-rasu/chi-rakasu/chi-rakaru
静 sei/shizu/shizu-ka/shizu-maru/shizu-meru
正 sei/shou/tada-shii/tada-su/masa
赤 seki/aka/aka-i/aka-ramu/aka-rameru
染 sen/so-meru/so-maru/shi-miru/shi-mi
四 shi/yo/yo-tsu/yo'-tsu/yon
焦 shou/ko-geru/ko-gasu/ko-gareru/ase-ru
足 soku/ashi/ta-riru/ta-ru/ta-su
速 soku/haya-i/haya-meru/haya-maru/sumi-yaka
尊 son/tatto-i/touto-i/tatto-bu/touto-bu
定 tei/jou/sada-meru/sada-maru/sada-ka
転 ten/koro-garu/koro-geru/koro-gasu/koro-bu
逃 tou/ni-geru/ni-gasu/noga-su/noga-reru
和 wa/yawa-ragu/yawa-rageru/nago-mu/nago-yaka
憎 zou/niku-mu/niku-i/niku-rashii/niku-shimi
代 dai/tai/ka-waru/ka-eru/yo/shiro
外 gai/ge/soto/hoka/hazu-su/hazu-reru
後 go/kou/nochi/ushi-ro/ato/oku-reru
薄 haku/usu-i/usu-meru/usu-maru/usu-ragu/usu-reru
捕 ho/to-raeru/to-rawareru/to-ru/tsuka-maeru/tsuka-maru
治 ji/chi/osa-meru/osa-maru/nao-ru/nao-su
重 juu/chou/e/omo-i/kasa-neru/kasa-naru
懐 kai/futokoro/natsu-kashii/natsu-kashimu/natsu-ku/natsu-keru
広 kou/hiro-i/hiro-maru/hiro-meru/hiro-garu/hiro-geru
苦 ku/kuru-shii/kuru-shimu/kuru-shimeru/niga-i/niga-ru
強 kyou/gou/tsuyo-i/tsuyo-maru/tsuyo-meru/shi-iru
初 sho/haji-me/haji-mete/hatsu/ui/so-meru
縮 shuku/chiji-mu/chiji-maru/chiji-meru/chiji-reru/chiji-rasu
分 bun/fun/bu/wa-keru/wa-kareru/wa-karu/wa-katsu
汚 o/kega-su/kega-reru/kega-rawashii/yogo-su/yogo-reru/kitana-i
上 jou/ue/kami/a-geru/a-garu/nobo-ru/nobo-seru/nobo-su
交 kou/maji-waru/maji-eru/ma-jiru/ma-zaru/ma-zeru/ka-u/ka-wasu
冷 rei/tsume-tai/hi-eru/hi-ya/hi-yasu/hi-yakasu/sa-meru/sa-masu
揺 you/yu-reru/yu-ru/yu-ragu/yu-rugu/yu-suru/yu-saburu/yu-suburu
明 mei/myou/a-kari/aka-rui/aka-rumu/aka-ramu/aki-raka/a-keru/a-ku/a-kuru/a-kasu
下 ka/ge/shita/shimo/moto/sa-geru/sa-garu/kuda-ru/kuda-su/kuda-saru/o-rosu/o-riru
生 sei/shou/i-kiru/i-kasu/i-keru/u-mareru/u-mu/o-u/ha-eru/ha-yasu/ki/nama
