一,one
肢,limb
事,abstract thing
侍,waiter
治,govern
実,truth
舎,cottage
者,someone
邪,wicked
若,young
取,take
受,accept
呪,curse
周,circumference
宗,religion
叔,uncle
述,mention
所,place
尚,esteem
招,beckon
承,acquiesce
昇,rise up
松,pine
沼,marsh
垂,droop
炊,cook
枢,hinge
制,control
姓,surname
征,subjugate
性,gender
青,blue
斉,adjusted
昔,long ago
析,chop
拙,bungling
狙,aim at
阻,thwart
卒,graduate
卓,eminent
拓,clear (the land)
担,shouldering
知,know
宙,mid-air
忠,loyalty
抽,pluck
注,pour
長,long
直,straight
坪,two-mat area
定,decide
底,bottom
抵,resist
邸,residence
泥,mud
的,target
迭,transfer
典,code
店,shop
妬,jealousy
東,east
到,arrival
毒,poison
突,stab
届,deliver
奈,what
乳,milk
念,thought
波,wave
拝,worship
杯,counter for cupfuls
拍,clap
泊,overnight
迫,urge
板,board
版,printing block
彼,he
披,expose
肥,fertilizer
非,negative
泌,ooze
表,express
苗,seedling
府,urban prefecture
怖,dreadful
阜,mound
附,affixed
侮,scorn
武,military
服,clothes
沸,seethe
物,thing
併,join
並,line-up
歩,walk
奉,observance
宝,treasure
抱,embrace
放,release
法,method
泡,bubbles
房,tassel
肪,obese
牧,breed
奔,bustle
妹,younger sister
枚,sheet of...
枕,pillow
抹,rub
味,flavor
岬,headland
命,fate
明,bright
免,excuse
茂,overgrown
盲,blind
門,gates
夜,night
弥,all the more
油,oil
拉,crush
林,woods
例,example
炉,hearth
和,peace
枠,frame
哀,pathetic
威,intimidate
為,do
畏,fear
胃,stomach
茨,thorn
咽,throat
姻,matrimony
映,reflect
栄,prosperity
疫,epidemic
怨,grudge
屋,roof
卸,wholesale
音,sound
科,section
架,rack
悔,repent
海,sea
界,world
皆,all
垣,hedge
柿,persimmon
革,leather
括,fasten
活,active
冠,crown
巻,scroll
看,watch over
紀,chronicle
軌,rut
客,guest
逆,inverted
虐,tyrannize
急,hurry
級,rank
糾,twist
峡,gorge
挟,pinch
狭,cramped
軍,army
係,person in charge
型,model
契,pledge
計,measure
建,build
研,sharpen
県,prefecture
限,limit
孤,orphan
弧,arc
故,circumstances
枯,wither
後,behind
侯,marquis
厚,thick
恒,constancy
洪,deluge
皇,emperor
紅,deep red
荒,laid waste
郊,outskirts
香,incense
拷,torture
恨,rancor
査,investigate
砂,sand
砕,smash
削,plane
昨,previous
柵,fence
咲,blossom
拶,be imminent
姿,figure
思,think
指,finger
施,carry out
持,hold
室,room
狩,hunt
首,neck
拾,pick up
秋,autumn
臭,stinking
柔,tender
重,heavy
祝,celebrate
俊,genius
春,springtime
盾,shield
叙,confer
昭,shining
乗,ride
城,castle
浄,clean
拭,wipe
食,eat
侵,encroach
信,trust
津,haven
神,god
甚,tremendously
帥,commander
是,just so
政,politics
星,star
牲,animal sacrifice
省,government ministry
窃,stealth
宣,proclaim
専,specialty
泉,spring
浅,shallow
洗,wash
染,dye
前,in front
祖,ancestor
奏,play music
相,mutual
荘,villa
草,grass
送,send
促,stimulate
則,rule
俗,vulgar
耐,resistant
待,wait
怠,neglect
胎,womb
退,retreat
単,simple
炭,charcoal
胆,gall bladder
段,steps
茶,tea
