門,gates,"専門 (せんもん): speciality
部門 (ぶもん): division (of a larger group)
門 (もん): gate
入門 (にゅうもん): entering an institution
専門医 (せんもんい): medical specialist"
間,interval,"時間 (じかん): time
人間 (じんかん): the world
間 (けん): 1.818 m (6 shaku)
週間 (しゅうかん): week
年間 (ねんかん): (period of) a year"
生,life,"生活 (せいかつ): living
先生 (シーサン): boy
生き (いき): living
人生 (じんせい): (human) life (i.e. conception to death)
生まれ (うまれ): birth"
冖,cover,
学,study,"学校 (がっこう): school
大学 (だいがく): university
学 (がく): learning
科学 (かがく): science
小学校 (しょうがっこう): primary school"
刂,variant of 刀,
前,in front,"前 (まえ): ago
以前 (いぜん): ago
名前 (なまえ): name
前回 (ぜんかい): previous time
当たり前 (あたりまえ): natural"
乙,the latter,"乙 (きのと): second in rank
甲乙 (こうおつ): first and second
早乙女 (さおとめ): young female rice planter
乙姫 (おとひめ): younger princess"
乂,mow,
气,steam,
気,feeling,"気 (け): sign
気持ち (きもち): feeling
気分 (きぶん): feeling
雰囲気 (ふんいき): atmosphere
人気 (じんき): prevailing mood of a locality"
東,east,"東京 (とうきょう): Tokyo
東 (トン): east wind tile
東北 (とうほく): north-east
東日本 (ひがしにほん): eastern Japan
関東 (かんとう): Kanto"
耂,old,
者,someone,"者 (しゃ): someone of that nature
作者 (さくしゃ): author
読者 (どくしゃ): reader
患者 (かんじゃ): patient
筆者 (ひっしゃ): writer"
扌,variant of 手,
手,hand,"手 (て): hand
相手 (あいて): companion
選手 (せんしゅ): player (sports)
勝手 (かって): one's own convenience
苦手 (にがて): poor (at)"
自,oneself,"自分 (じぶん): myself
自身 (じしん): (one's) self
自然 (じねん): occurring naturally (without human influence)
自由 (じゆう): freedom
自体 (じたい): itself"
未,not yet,"未来 (みらい): the future (usually distant)
未 (み): not yet
未だに (いまだに): still
未満 (みまん): less than
未定 (みてい): not yet fixed"
来,come,"来 (らい): next (year, etc.)
出来 (でき): workmanship
来る (きたる): next (e.g. ""next April"")
未来 (みらい): the future (usually distant)
本来 (ほんらい): originally"
也,to be,也 (なり): sum of money
地,ground,"地 (じ): the region in question
地域 (ちいき): area
地球 (ちきゅう): Earth
地震 (じしん): earthquake
土地 (とち): plot of land"
合,fit,"場合 (ばあい): case
合わせ (あわせ): joint together
試合 (しあい): match
組み合わせ (くみあわせ): combination
具合 (ぐあい): condition"
方,direction,"方 (がた): Sirs
方法 (ほうほう): method
一方 (ひとかた): one person
方々 (ほうぼう): here and there
仕方 (しかた): way"
小,small,"小さな (ちいさな): small
小さい (ちいさい): small
小 (ぐゎー): small
小説 (しょうせつ): novel
小学校 (しょうがっこう): primary school"
県,prefecture,"県 (あがた): territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.)
県内 (けんない): within the prefecture
県民 (けんみん): citizen of a prefecture
都道府県 (とどうふけん): administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures
県立 (けんりつ): prefectural (institution)"
田,rice paddy,"田舎 (でんしゃ): country
田 (た): rice field
上田 (じょうでん): high rice field
田んぼ (たんぼ): paddy field
本田 (ほんでん): rice paddy"
高,tall,"高い (たかい): high
高 (こう): high-
最高 (さいこう): most
高速 (こうそく): high-speed
高級 (こうきゅう): high class"
心,heart,"心 (しん): heart
心配 (しんぱい): worry
中心 (ちゅうしん): center
安心 (あんじん): obtaining peace of mind through faith or ascetic practice
関心 (かんしん): concern"
思,think,"思い (おもい): thought
思う (おもう): to think
不思議 (ふしぎ): wonderful
思考 (しこう): thought
思える (おもえる): to seem"
又,or again,
幺,short thread,
夂,to follow,
後,behind,"後 (ご): after
最後 (さいご): end
その後 (そのあと): after that
今後 (こんご): from now on
午後 (ごご): afternoon"
言,say,"言う (いう): to say
言葉 (ことば): language
言える (いえる): to be possible to say
言語 (げんご): language
発言 (はつげん): statement"
立,stand up,"立ち (たち): departure
立場 (たちば): position
立て (だて): particularly
独立 (どくりつ): independence
成立 (せいりつ): formation"
阝,variant of 邑,
部,part,"部分 (ぶぶん): portion
部 (べ): hereditary occupational group (Yamato period)
部屋 (へや): room
一部 (いちぶ): one part
全部 (ぜんぶ): all"
勹,to wrap,
勿,not,勿体 (もったい): superior airs
場,place,"場合 (ばあい): case
場所 (ばしょ): place
場 (じょう): place
登場 (とうじょう): entry (on stage)
会場 (かいじょう): assembly hall"
同,same,"同じ (おなじ): same
同 (どう): the same
同時に (どうじに): coincident with
同様 (どうよう): identical
同期 (どうき): same period"
斤,axe,"斤量 (きんりょう): weight
斤 (きん): kin"
新,new,"新しい (あたらしい): new
新 (さら): new
更新 (こうしん): renewal
新た (あらた): new
新聞 (しんぶん): newspaper"
入,enter,"入れ (いれ): container
購入 (こうにゅう): purchase
入り (いり): entering
入る (はいる): to enter
入力 (にゅうりょく): input"
衣,clothes,"衣装 (いしょう): clothing
衣 (きぬ): clothing
浴衣 (ゆかた): yukata (light cotton kimono worn in the summer or used as a bathrobe)
衣類 (いるい): clothes
衣服 (いふく): clothes"
艮,boundary,"艮 (ごん): gen (one of the trigrams of the I Ching: mountain, northeast)"
長,long,"長い (ながい): long (distance)
長 (なが): long
成長 (せいちょう): growth
社長 (しゃちょう): company president
長期 (ちょうき): long-term"
久,long time,"久しぶり (ひさしぶり): a long time (since the last time)
久々 (ひさびさ): (in a) long time
耐久 (たいきゅう): endurance
永久 (えいきゅう): eternity
恒久 (こうきゅう): permanence"
夕,evening,"夕方 (ゆうがた): evening
夕食 (ゆうしょく): evening meal
夕飯 (ゆうはん): evening meal
夕 (ゆう): evening
夕暮れ (ゆうぐれ): evening"
廾,folded hands,
癶,outspread legs,
発,departure,"原発 (げんぱつ): primary (e.g. primary immunodeficiency syndrome)
開発 (かいはつ): development
発表 (はっぴょう): announcement
発売 (はつばい): sale
発生 (はっせい): outbreak"
明,bright,"説明 (せつめい): explanation
明日 (あした): tomorrow
明らか (あきらか): obvious
不明 (ふめい): unclear
証明 (しょうめい): proof"
京,capital,"東京 (とうきょう): Tokyo
京都 (きょうと): Kyoto (city)
北京 (ペキン): Beijing (China)
京 (きょう): imperial capital (esp. Kyoto)
上京 (じょうきょう): proceeding to the capital (Tokyo)"
乍,while,
亻,variant of 人,
作,make,"作品 (さくひん): work (e.g. book, film, composition, etc.)
作業 (さぎょう): work
作り (づくり): making
作る (つくる): to make
作成 (さくせい): drawing up (e.g. legal document, contract, will, etc.)"
女,woman,"彼女 (かのじょ): she
女性 (じょせい): woman
女 (じょ): woman
少女 (しょうじょ): little girl
女優 (じょゆう): actress"
耳,ear,"耳 (みみ): ear
耳鳴り (みみなり): buzzing in the ears
耳障り (みみざわり): hard (on the ears)
耳鼻 (じび): nose and ears
耳元 (みみもと): close to the ear"
取,take,"取っ (とっ): very
取り (どり): samurai receiving this much rice as a fee
取得 (しゅとく): acquisition
取る (とる): to take
取引 (とりひき): transactions"
最,most,"最近 (さいきん): recently
最後 (さいご): end
最初 (さいしょ): beginning
最高 (さいこう): most
最終 (さいしゅう): last"
下,below,"下 (か): under (being in said condition or environment)
以下 (いか): not exceeding
下記 (かき): the following
低下 (ていか): fall
地下 (ちか): basement"
名,name,"名 (めい): counter for people (usu. seating, reservations and such)
名前 (なまえ): name
有名 (ゆうめい): famous
名古屋 (なごや): Nagoya (city)
名称 (めいしょう): name"
弋,javelin,
代,substitute,"時代 (じだい): period
代 (だい): charge
代表 (だいひょう): representative
現代 (げんだい): nowadays
年代 (ねんだい): age"
廿,twenty,
厂,cliff,
广,slanting roof,"广 (まだれ): kanji ""dotted cliff"" radical (radical 53)"
度,degrees,"度 (ど): degree (angle, temperature, scale, etc.)
程度 (ていど): degree
今度 (こんど): this time
一度 (いちど): once
ある程度 (あるていど): to some extent"
豕,pig,
宀,roof,
家,house,"家族 (かぞく): family
家庭 (かてい): home
我が家 (わがや): one's house
国家 (こっか): state
実家 (じっか): (one's parents') home"
川,river,"川 (かわ): river
小川 (おがわ): stream
川崎 (かわさき): Kawasaki (city)
河川 (かせん): rivers
河川敷 (かせんじき): flood plain"
首,neck,"首相 (しゅしょう): Prime Minister
首 (かしら): head (of a doll)
首都 (しゅと): capital city
手首 (てくび): wrist
首脳 (しゅのう): head"
廴,to move,
辶,variant of ⻌,
道,road,"道 (どう): way
報道 (ほうどう): information
道路 (どうろ): road
北海道 (ほっかいどう): Hokkaido (island, prefectural-level administrative unit)
道具 (どうぐ): tool"
可,possible,"可能 (かのう): possible
不可能 (ふかのう): impossible
許可 (きょか): permission
可 (か): passable
不可 (ふか): wrong"
何,what,"何 (なに): what
何より (なにより): above anything else
何で (なんで): how?
何とも (なんとも): quite
何と (なんと): what"
