行,"kanji component: to go",ぎょうがまえ,"行く (いく): to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach
行き (いき): the way there, outbound leg, outbound trip, departing leg
行動 (こうどう): action, conduct, behaviour, behavior, mobilization, mobilisation
行う (おこなう): to perform, to do, to conduct oneself, to carry out
実行 (じっこう): execution (e.g. of a plan), carrying out, practice, action, implementation, fulfillment, realization"
寸,"kanji component: inch, (2.25 cm)",すん,"寸前 (すんぜん): just before, on the verge of, on the brink of
寸法 (すんぽう): measurement, size, extent, dimension
一寸 (いっすん): one sun (approx. 3.03 cm)
寸 (すん): sun (approx. 3.03 cm)
寸劇 (すんげき): short play, skit"
寺,"Buddhist temple",,"寺 (てら): temple (Buddhist)
お寺 (おてら): temple
寺院 (じいん): Buddhist temple
寺社 (じしゃ): temples and shrines
国分寺 (こくぶんじ): state-supported provincial temple (Nara period)"
時,time,,"時 (とき): time, hour, moment
時間 (じかん): time
時代 (じだい): period, epoch, era, age
当時 (とうじ): at that time, in those days
時期 (じき): time, season, period, phase, stage"
卜,"kanji component: oracle",ぼく,"卜 (うらない): fortune-telling, divination"
上,up,,"上 (うえ): above, up, over, elder (e.g. daughter)
以上 (いじょう): not less than, ... and more, ... and upwards
上げ (あげ): tuck (e.g. in a dress)
上記 (じょうき): above-mentioned, above-named, above
向上 (こうじょう): elevation, rise, improvement, advancement, progress"
丿,"kanji component: diagonal sweeping stroke",の,
刀,"kanji component: knife, sword",かたな,"刀 (かたな): (single-edged) sword, katana
太刀打ち (たちうち): crossing swords
太刀 (たち): long sword
単刀直入 (たんとうちょくにゅう): straight to the point, point-blank, frank, direct
執刀 (しっとう): performing a surgical operation"
分,part,,"自分 (じぶん): myself, yourself, oneself, himself, herself
分 (ふん): minute (unit of time)
部分 (ぶぶん): portion, section, part
気分 (きぶん): feeling, mood
十分 (じっぷん): 10 minutes"
厶,"kanji component: private, Katakana Mu",む,
禾,"kanji component: grain",のぎへん,
私,me,,"私 (わたし): I, me
私的 (してき): personal, private, proprietary
私立 (しりつ): private (establishment)
私生活 (しせいかつ): one's private life
公私 (こうし): public and private, official and personal, government and people"
中,middle,,"中 (なか): inside, in
中国 (ちゅうごく): China
途中 (とちゅう): on the way, en route
中心 (ちゅうしん): center, centre, middle, heart, core, focus, pivot, emphasis, balance
集中 (しゅうちゅう): concentration, focusing, convergence, centralization, integration, gathering together"
彐,"kanji component: pig’s head",けいがしら,
尹,"an official rank",,"尹 (いん): director (of the ritsuryo-period Imperial Prosecuting and Investigating Office)"
事,"abstract thing",,"事 (じ): individual concrete phenomenon (as opposed to a general principle)
仕事 (しごと): work, job, business, occupation, employment, vocation, task
記事 (きじ): article, news story, report, account
事故 (じこ): accident, incident, trouble
大事 (だいじ): important, serious, crucial"
可,possible,,"可能 (かのう): possible, potential, practicable, feasible
不可能 (ふかのう): impossible
許可 (きょか): permission, approval, authorization, license
可 (か): passable, acceptable, tolerable, fair
不可 (ふか): wrong, bad, improper, unjustifiable, inadvisable"
亻,"kanji component: man, human. variant of 人",ひと,
何,what,,"何 (なに): what
何より (なにより): above anything else, above all, more than anything
何で (なんで): how?, by what means?
何とも (なんとも): quite, really, very, extremely
何と (なんと): what, how, whatever"
自,"kanji component: self",みずから,"自分 (じぶん): myself, yourself, oneself, himself, herself
自身 (じしん): (one's) self, oneself
自然 (しぜん): nature
自由 (じゆう): freedom, liberty, as it pleases you
自体 (じたい): itself"
乂,mow,,
又,"kanji component: again, right hand",また,"又聞き (またぎき): hearsay, learning by hearsay"
皮,"kanji component: skin, hide",けがわ,"皮膚 (ひふ): skin
皮 (かわ): skin, hide, pelt, fur
皮肉 (ひにく): irony, sarcasm, cynicism, satire
毛皮 (けがわ): fur, skin, pelt
頭皮 (とうひ): scalp"
彼,he,,"彼 (あれ): that person
彼女 (かのじょ): she, her
彼ら (かれら): they, them
彼氏 (かれし): boyfriend
彼等 (かれら): they, them"
亠,"kanji component: lid, top",なべぶた,
方,"kanji component: direction, flag",ほう,"方 (かた): direction, way
方法 (ほうほう): method, process, manner, way, means, technique
一方 (いっぽう): one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party
方々 (かたがた): they (of people), gentlemen (of the ...)
仕方 (しかた): way, method, means, resource, course"
生,"kanji component: birth, to be born, live",うまれる,"生活 (せいかつ): living, life (one's daily existence), livelihood
先生 (せんせい): teacher, master, doctor
生き (いき): living, being alive
人生 (じんせい): (human) life (i.e. conception to death)
生まれ (うまれ): birth, birthplace"
月,"kanji component: moon, month, period",つき,"月 (つき): moon
ヶ月 (かげつ): months (period of)
今月 (こんげつ): this month
３月 (さんがつ): March
９月 (くがつ): September"
門,"kanji component: gate, door",もんがまえ,"専門 (せんもん): speciality, specialty, subject of study, expert, area of expertise
部門 (ぶもん): division (of a larger group), branch, field, class (subclass), group, category, department
門 (と): door (esp. Japanese-style)
入門 (にゅうもん): entering an institution, beginning training
専門医 (せんもんい): medical specialist"
間,interval,,"時間 (じかん): time
人間 (にんげん): human being, person, man, mankind, humankind
間 (あいだ): space (between), gap, interval, distance
週間 (しゅうかん): week
年間 (ねんかん): (period of) a year"
扌,"kanji component: hand. variant of 手",て,
手,"kanji component: hand",て,"手 (て): hand, arm
相手 (あいて): companion, partner, company
選手 (せんしゅ): player (sports), athlete, team member
勝手 (かって): one's own convenience, one's way, selfishness
苦手 (にがて): poor (at), weak (in), not very good (at)"
言,"kanji component: words, to speak, say",げん,"言う (いう): to say, to utter, to declare
言葉 (ことば): language, dialect
言える (いえる): to be possible to say, to be able to say
言語 (げんご): language
発言 (はつげん): statement, remark, observation, utterance, speech, proposal"
女,"kanji component: woman",おんな,"彼女 (かのじょ): she, her
女性 (じょせい): woman, female
女 (おんな): female, woman, female sex
女の子 (おんなのこ): girl, daughter
女子 (じょし): woman, girl"
本,book,,"日本 (にほん): Japan
本 (もと): origin, source
本当に (ほんとうに): really, truly
基本 (きほん): basics, fundamentals, basis, foundation
日本人 (にほんじん): Japanese person, Japanese people"
乙,"kanji component: the second ",,"乙女 (しょうじょ): little girl, maiden, young lady, female usually between 7 and 18 years old
乙 (おつ): second (party to an agreement), the B party (e.g. in a contract), the latter, defendant
甲乙 (こうおつ): first and second, A and B
早乙女 (さおとめ): young female rice planter, young girl
乙姫 (おとひめ): younger princess"
气,"kanji component: steam, air",きがまえ,
気,feeling,,"気 (き): spirit, mind, heart
気持ち (きもち): feeling, sensation, mood
気分 (きぶん): feeling, mood
雰囲気 (ふんいき): atmosphere, mood, ambience, ambiance, aura, feel
人気 (にんき): popularity, public favor"
干,"kanji component: to dry, shield",かん,"若干 (じゃっかん): some, few, a number of, a little (bit)
干し (ほし): drying, dried
干渉 (かんしょう): interference, intervention, meddling
梅干し (うめぼし): umeboshi, pickled dried ume, pickled dried plum
干す (ほす): to air, to dry, to desiccate"
年,year,,"年 (とし): year
今年 (ことし): this year
年間 (ねんかん): (period of) a year
昨年 (さくねん): last year
年代 (ねんだい): age, era, period, date"
三,three,,"三 (さん): three
三つ (みっつ): three
三角 (さんかく): triangle, triangular shape
第三者 (だいさんしゃ): third party, third person, outsider, disinterested person
三昧 (さんまい): samadhi (state of intense concentration achieved through meditation)"
耂,"kanji component: old",ろう,
者,someone,,"者 (もの): person
作者 (さくしゃ): author, authoress, writer, composer, artist
読者 (どくしゃ): reader
患者 (かんじゃ): patient
筆者 (ひっしゃ): writer, author"
刂,"kanji component: sword. variant of 刀",かたな,
前,"in front",,"前 (さき): previous, prior, former, first, earlier, some time ago, preceding
以前 (いぜん): ago, since, before, previous
名前 (なまえ): name, full name
前回 (ぜんかい): previous time, last time, previous installment, previous instalment, previous session
当たり前 (あたりまえ): natural, reasonable, obvious"
勹,"kanji component: to wrap",つつみがまえ,
勿,not,,"勿体 (もったい): superior airs, air of importance"
豕,"kanji component: pig",いのこ,
冖,"kanji component: cover, crown",わかんむり,
宀,"kanji component: roof, house",うかんむり,
家,house,,"家 (いえ): house, residence, dwelling
家族 (かぞく): family, members of a family
家庭 (かてい): home, family, household
我が家 (わがや): one's house, one's home, one's family
国家 (こっか): state, country, nation"
今,now,,"今 (いま): now, the present time, just now, soon, immediately, (one) more
今日 (きょう): today, this day
今回 (こんかい): now, this time, lately
今年 (ことし): this year
今後 (こんご): from now on, hereafter"
下,below,,"下 (した): below, down, under, younger (e.g. daughter)
以下 (いか): not exceeding, and downward, ... and below
下記 (かき): the following
低下 (ていか): fall, decline, lowering, deterioration, degradation
地下 (ちか): basement, cellar, underground place"
白,"kanji component: white",しろ,"面白い (おもしろい): interesting, fascinating, intriguing, enthralling
白 (しろ): white
白い (しろい): white
面白 (おもしろ): amusing, interesting
白人 (しろうと): amateur, layman, ordinary person, novice"
勺,ladle,,
的,target,,"的 (てき): -like, typical
目的 (もくてき): purpose, goal, aim, objective, intention
比較的 (ひかくてき): comparatively, relatively
自動的 (じどうてき): automatic
圧倒的 (あっとうてき): overwhelming"
云,say,,"云う (いう): to say, to utter, to declare
云々 (うんぬん): and so on, and so forth, et cetera, and such, and the like"
牛,"kanji component: cow",うし,"牛 (うし): cattle (Bos taurus), cow, bull, ox, calf
牛乳 (ぎゅうにゅう): (cow's) milk
牛肉 (ぎゅうにく): beef
和牛 (わぎゅう): Wagyu beef, Japanese beef
肉牛 (にくぎゅう): beef cattle"
物,thing,,"物 (もの): thing, object, article, stuff, substance
物語 (ものがたり): tale, story, legend
物質 (ぶっしつ): material, substance
建物 (たてもの): building
買い物 (かいもの): shopping, purchased goods"
立,"kanji component: to stand",たつ,"立ち (たち): departure, setting off, start
立場 (たちば): position, situation
立て (たて): central, main, head, chief
独立 (どくりつ): independence, self-reliance, supporting oneself, being on one's own
成立 (せいりつ): formation, establishment, materialization, coming into existence"
小,"kanji component: small",しょう,"小さな (ちいさな): small, little, tiny
小さい (ちいさい): small, little, tiny
小 (しょう): smallness, small item
小説 (しょうせつ): novel, (short) story
小学校 (しょうがっこう): primary school, elementary school, grade school"
文,"kanji component: literature, letters",ぶん,"文字 (もじ): letter (of alphabet), character
文化 (ぶんか): culture, civilization, civilisation
文章 (ぶんしょう): writing, composition, essay, article, prose, (writing) style
注文 (ちゅうもん): order, request
文 (ふみ): letter, writings"
矢,"kanji component: arrow",や,"矢 (や): arrow
無理矢理 (むりやり): forcibly, against one's will
矢先 (やさき): arrowhead
矢印 (やじるし): arrow (symbol)
矢継ぎ早 (やつぎばや): rapid succession (e.g. questions)"
知,know,,"知識 (ちしき): knowledge, information
知る (しる): to be aware of, to know, to be conscious of, to cognize, to cognise
お知らせ (おしらせ): notice, notification
知り合い (しりあい): acquaintance
通知 (つうち): notice, notification, report, posting"
入,"kanji component: to enter",いる,"入れ (いれ): container, receptacle
購入 (こうにゅう): purchase, buy
入り (いり): entering
入る (いる): to get in, to go in, to come in, to flow into, to set, to set in
入力 (にゅうりょく): input, (data) entry"
乍,though,,
作,make,,"作品 (さくひん): work (e.g. book, film, composition, etc.), opus, performance, production
作業 (さぎょう): work, operation, manufacturing, fatigue duty
作り (つくり): making, producing, manufacturing, building, construction, make, structure
作る (つくる): to make, to produce, to manufacture, to build, to construct
作成 (さくせい): drawing up (e.g. legal document, contract, will, etc.), preparing, writing, framing, making, producing, creating, creation"
聿,"kanji component: writing brush",ふでづくり,
書,write,,"書く (かく): to write, to compose, to pen
書 (ふみ): letter, writings
書籍 (しょせき): book, publication
本書 (ほんしょ): text, script, this book
書類 (しょるい): document, official papers"
