脅: 肉 劦
興: 臼 同 ハ #is3
郷: 幺 艮 ⻏ #is3
鏡: 釒 竟
響: 郷 音
驚: 馬 敬
仰: 亻 卬
凝: 冫 疑
暁: 日 尭
業: 丵 巾 木 #radplus
局: 尸 口
曲: 曰 #radonly
極: 木 亟
玉: 王 #radonly
勤: 堇 力
均: 土 匀
斤: #is0
琴: 玨 今
玨: 王 #double
禁: 示 林
筋: ⺮ 肋
緊: 糸 臤
菌: 艹 囷
囷: 禾 囗
襟: 衤 禁
謹: 訁 堇
近: ⻌ 斤
金: #is0
吟: 囗 今
銀: 釒 艮
九: #is0
句: 勹 口
区: 匸 乂
苦: 艹 古
駆: 馬 区
具: 目 ハ
愚: 心 禺
虞: 虍 呉
空: 穴 工
偶: 亻 禺
遇: ⻌ 禺
隅: ⻖ 禺
屈: 尸 出
掘: 扌 屈
靴: 革 化
繰: 糸 喿
喿: 木 品
桑: 木 叒
叒: 又 #triple
勲: 動 ⺣
君: 尹 口
薫: 艹 重 ⺣ #is3; 2+3 is unusual
訓: 訁 川
群: 君 羊
軍: 冖 車
郡: 君 ⻏
係: 亻 系
傾: 化 頁
刑: 开 刂
兄: 儿 口
啓: 口 戸 攵 #is3
型: 刑 土
契: 㓞 大
形: 开 彡
径: 彳 圣
恵: 叀 心
慶: 心 夂
憩: 心 舌 自 #is3
掲: 扌 匂 日 #is3
携: 扌 隽
隽: 隹 乃
敬: 苟 攵
景: 日 京
渓: 氵 爫 夫
系: 糸 #is1
経: 糸 圣
継: 糸 米
茎: 艹 圣
蛍: ⺍ 冖 虫   #is3
計: 訁 十
警: 言 敬
軽: 車 圣
鶏: 爫 夫 鳥
芸: 艹 云
迎: ⻌ 卬
鯨: 魚 京
劇: 豦 刂
豦: 虍 豕
撃: 手 殳 車
激: 氵 敫
傑: 亻 桀
欠: #is0
決: 氵 夬
潔: 氵 絜
穴: 宀 八
結: 糸 吉
血: 丿 皿
月: #is0
件: 亻 牛
倹: 亻 㑒
健: 亻 建
兼: #is0
券: 龹 刀
剣: 㑒 刂
圏: 囗 巻
堅: 臤 土
嫌: 女 兼
建: 廴 聿
憲: 罒 心 宀 口 #is4 incomplete
懸: 縣 心
検: 木 㑒
権: 木 𠂉 一 隹 #is4
犬: 大 丶
献: 南 犬
研: 石 开
絹: 糸 肙
県: 𠃊 目 小  #is3
肩: 戸 肉
見: 目 儿
謙: 訁 兼
